 timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/02 18:17:02.674, 24 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 114.59 W, 54
2026/04/02 18:17:03.674, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 113.77 W, 54
2026/04/02 18:17:04.674, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 112.48 W, 54
2026/04/02 18:17:05.675, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 107.70 W, 54
2026/04/02 18:17:06.675, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 106.73 W, 54
2026/04/02 18:17:07.676, 23 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 103.75 W, 54
2026/04/02 18:17:08.676, 21 %, 11 %, 653 MiB, 44838 MiB, 46068 MiB, 111.35 W, 54
2026/04/02 18:17:09.676, 22 %, 11 %, 653 MiB, 44838 MiB, 46068 MiB, 110.31 W, 54
2026/04/02 18:17:10.677, 22 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 109.99 W, 54
2026/04/02 18:17:11.677, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 110.06 W, 54
2026/04/02 18:17:12.677, 24 %, 13 %, 653 MiB, 44838 MiB, 46068 MiB, 109.55 W, 54
2026/04/02 18:17:13.678, 23 %, 12 %, 653 MiB, 44838 MiB, 46068 MiB, 109.92 W, 54
2026/04/02 18:17:14.678, 23 %, 14 %, 653 MiB, 44838 MiB, 46068 MiB, 110.09 W, 54
